INFO 2025-09-19 09:20:07,765 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 09:20:07,767 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 09:20:07,769 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 09:20:07,889 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
INFO 2025-09-19 09:20:07,904 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 09:20:07,904 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
INFO 2025-09-19 09:47:44,485 django.server log_message 212 "OPTIONS /api/auth/user/ HTTP/1.1" 200 0
WARNING 2025-09-19 09:47:44,516 django.request log_response 246 Unauthorized: /api/auth/user/
WARNING 2025-09-19 09:47:44,518 django.server log_message 212 "GET /api/auth/user/ HTTP/1.1" 401 183
INFO 2025-09-19 09:47:44,522 django.server log_message 212 "OPTIONS /api/auth/token/refresh/ HTTP/1.1" 200 0
INFO 2025-09-19 09:47:44,533 django.server log_message 212 "POST /api/auth/token/refresh/ HTTP/1.1" 200 242
INFO 2025-09-19 09:47:44,536 django.server log_message 212 "OPTIONS /api/auth/user/ HTTP/1.1" 200 0
INFO 2025-09-19 09:47:44,560 django.server log_message 212 "GET /api/auth/user/ HTTP/1.1" 200 145
INFO 2025-09-19 09:47:44,576 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 09:47:44,578 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 09:47:44,591 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 09:47:45,816 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
INFO 2025-09-19 09:47:48,874 django.server log_message 212 "OPTIONS /api/leaves/ HTTP/1.1" 200 0
INFO 2025-09-19 09:47:48,888 django.server log_message 212 "GET /api/leaves/ HTTP/1.1" 200 2
INFO 2025-09-19 09:52:44,148 django.server log_message 212 "OPTIONS /api/auth/user/ HTTP/1.1" 200 0
INFO 2025-09-19 09:52:44,155 django.server log_message 212 "GET /api/auth/user/ HTTP/1.1" 200 145
INFO 2025-09-19 09:52:44,169 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 09:52:44,170 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 09:52:44,176 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 09:52:44,182 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
INFO 2025-09-19 09:53:18,320 django.server log_message 212 "OPTIONS /api/auth/user/ HTTP/1.1" 200 0
INFO 2025-09-19 09:53:18,326 django.server log_message 212 "GET /api/auth/user/ HTTP/1.1" 200 145
INFO 2025-09-19 09:53:18,340 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 09:53:18,340 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 09:53:18,355 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
INFO 2025-09-19 09:53:18,358 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 10:35:02,603 django.utils.autoreload run_with_reloader 667 Watching for file changes with StatReloader
INFO 2025-09-19 10:37:37,902 django.utils.autoreload run_with_reloader 667 Watching for file changes with StatReloader
INFO 2025-09-19 10:38:24,893 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:38:24,913 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:38:34,092 django.server log_message 212 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
ERROR 2025-09-19 10:38:36,805 django.request log_response 246 Internal Server Error: /api/auth/login/
ERROR 2025-09-19 10:38:36,806 django.server log_message 212 "POST /api/auth/login/ HTTP/1.1" 500 63
INFO 2025-09-19 10:38:36,837 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:38:36,850 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:39:15,312 django.server log_message 212 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
ERROR 2025-09-19 10:39:17,731 django.request log_response 246 Internal Server Error: /api/auth/login/
ERROR 2025-09-19 10:39:17,733 django.server log_message 212 "POST /api/auth/login/ HTTP/1.1" 500 63
INFO 2025-09-19 10:39:17,768 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:39:17,784 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:43:51,808 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:43:51,823 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
INFO 2025-09-19 10:44:02,697 django.server log_message 212 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-09-19 10:44:04,028 django.server log_message 212 "POST /api/auth/login/ HTTP/1.1" 200 638
INFO 2025-09-19 10:44:04,070 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 10:44:04,079 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 10:44:04,084 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-09-19 10:44:04,086 django.server log_message 212 "OPTIONS /api/attendance/ HTTP/1.1" 200 0
INFO 2025-09-19 10:44:04,089 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 10:44:04,091 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 10:44:04,097 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-09-19 10:44:04,119 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 10:44:04,125 django.server log_message 212 "OPTIONS /api/attendance/ HTTP/1.1" 200 0
WARNING 2025-09-19 10:44:04,398 django.request log_response 246 Forbidden: /api/users/
WARNING 2025-09-19 10:44:04,428 django.server log_message 212 "GET /api/users/ HTTP/1.1" 403 63
INFO 2025-09-19 10:44:04,438 django.server log_message 212 "GET /api/attendance/ HTTP/1.1" 200 2
WARNING 2025-09-19 10:44:04,451 django.request log_response 246 Forbidden: /api/users/
WARNING 2025-09-19 10:44:04,458 django.server log_message 212 "GET /api/users/ HTTP/1.1" 403 63
INFO 2025-09-19 10:44:04,463 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 10:44:04,476 django.server log_message 212 "GET /api/attendance/ HTTP/1.1" 200 2
INFO 2025-09-19 10:44:05,650 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
INFO 2025-09-19 10:44:05,790 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
INFO 2025-09-19 10:53:02,250 django.server log_message 212 "OPTIONS /api/auth/logout/ HTTP/1.1" 200 0
WARNING 2025-09-19 10:53:02,262 django.request log_response 246 Bad Request: /api/auth/logout/
WARNING 2025-09-19 10:53:02,263 django.server log_message 212 "POST /api/auth/logout/ HTTP/1.1" 400 0
INFO 2025-09-19 10:53:02,310 django.server log_message 212 "GET /api/config/ HTTP/1.1" 200 520
